slug,archetype,confidence,importance,difficulty,module,topic,title,file
log-levels-when-to-use-each,D,medium,,easy,observability,structured-logging,"Log Levels: TRACE, DEBUG, INFO, WARN, ERROR",content/java-backend-intermediate/observability/structured-logging/complete-qa.json
four-golden-signals-red-use-methodologies,A,medium,,medium,observability,apm-tools,"Four Golden Signals, RED, USE: Monitoring Methodologies",content/java-backend-intermediate/observability/apm-tools/complete-qa.json
opentelemetry-fundamentals-spring-boot,A,medium,,medium,observability,apm-tools,OpenTelemetry Fundamentals + Spring Boot Integration,content/java-backend-intermediate/observability/apm-tools/complete-qa.json
datadog-vs-new-relic-vs-dynatrace-vs-grafana,B,high,,medium,observability,comparisons,"APM Comparison: Datadog, New Relic, Dynatrace, Grafana Cloud",content/java-backend-intermediate/observability/comparisons/complete-qa.json
prometheus-vs-cloudwatch-vs-datadog-metrics,B,high,,medium,observability,comparisons,Metrics Backends: Prometheus vs CloudWatch vs Datadog,content/java-backend-intermediate/observability/comparisons/complete-qa.json
kubernetes-log-aggregation,A,medium,,medium,observability,distributed-log-aggregation,Log Aggregation in Kubernetes for Java Apps,content/java-backend-intermediate/observability/distributed-log-aggregation/complete-qa.json
finding-missing-traces-instrumentation-gap,D,high,,medium,observability,scenario-based,Debugging Missing Traces and Instrumentation Gaps,content/java-backend-intermediate/observability/scenario-based/complete-qa.json
p99-latency-spike-debug-walkthrough,D,high,,medium,observability,scenario-based,Debugging a P99 Latency Spike with Observability Tools,content/java-backend-intermediate/observability/scenario-based/complete-qa.json
slf4j-logback-structured-logging-spring-boot,A,medium,,medium,observability,structured-logging,Structured Logging with SLF4J and Logback in Spring Boot,content/java-backend-intermediate/observability/structured-logging/complete-qa.json
incident-severity-levels-slo-error-budget,D,high,,medium,production-sre,incident-management,"Incident Severity, SLOs, Error Budgets",content/java-backend-intermediate/production-sre/incident-management/complete-qa.json
incident-response-process-icm-roles,D,high,,medium,production-sre,incident-response,Incident Response Process: Page to Resolution,content/java-backend-intermediate/production-sre/incident-response/complete-qa.json
on-call-rotation-best-practices,G,high,,medium,production-sre,on-call,"On-Call Rotation: Design, Fairness, Burnout Prevention",content/java-backend-intermediate/production-sre/on-call/complete-qa.json
blameless-postmortem-template-process,D,high,,medium,production-sre,postmortems,"Blameless Postmortem: Template, Process, Culture",content/java-backend-intermediate/production-sre/postmortems/complete-qa.json
root-cause-analysis-techniques-systems-thinking,D,high,,medium,production-sre,root-cause-analysis,Root Cause Analysis: Beyond 5 Whys to Systems Thinking,content/java-backend-intermediate/production-sre/root-cause-analysis/complete-qa.json
alerting-strategy-slos-slas-error-budgets-java-services,A,medium,,intermediate,observability,alerting,"Alerting Strategy: SLOs, SLAs, and Error Budgets for Java Services",content/java-backend-intermediate/observability/alerting/complete-qa.json
log-aggregation-elk-stack-elasticsearch-logstash-kibana,A,medium,,intermediate,observability,distributed-log-aggregation,Log Aggregation with the ELK Stack for Java Services,content/java-backend-intermediate/observability/distributed-log-aggregation/complete-qa.json
distributed-tracing-spring-cloud-sleuth-zipkin-jaeger,A,medium,,intermediate,observability,distributed-tracing,Distributed Tracing with Spring Cloud Sleuth and Zipkin/Jaeger,content/java-backend-intermediate/observability/distributed-tracing/complete-qa.json
opentelemetry-vs-micrometer-vs-sleuth-comparison,B,medium,,intermediate,observability,distributed-tracing,OpenTelemetry vs Micrometer vs Spring Sleuth — Choosing the Right Library,content/java-backend-intermediate/observability/distributed-tracing/complete-qa.json
production-debugging-distributed-traces-latency-bottlenecks,A,medium,,intermediate,observability,distributed-tracing,Production Debugging with Distributed Traces — Finding Latency Bottlenecks,content/java-backend-intermediate/observability/distributed-tracing/complete-qa.json
health-checks-vs-readiness-checks-actuator-health,B,medium,,intermediate,observability,health-checks-and-probes,Health Checks vs Readiness Checks — What to Expose on /actuator/health,content/java-backend-intermediate/observability/health-checks-and-probes/complete-qa.json
micrometer-counters-timers-gauges-spring-boot,A,medium,,intermediate,observability,metrics-and-micrometer,"Micrometer Metrics: Counters, Timers, and Gauges in Spring Boot",content/java-backend-intermediate/observability/metrics-and-micrometer/complete-qa.json
three-pillars-observability-metrics-logs-traces,A,medium,,intermediate,observability,metrics-and-micrometer,"Three Pillars of Observability: Metrics, Logs, and Traces",content/java-backend-intermediate/observability/metrics-and-micrometer/complete-qa.json
grafana-dashboards-spring-boot-service-health,A,medium,,intermediate,observability,prometheus-and-grafana,Grafana Dashboards for Spring Boot Service Health,content/java-backend-intermediate/observability/prometheus-and-grafana/complete-qa.json
spring-boot-actuator-prometheus-metrics-setup,A,medium,,intermediate,observability,prometheus-and-grafana,Spring Boot Actuator + Prometheus Metrics Setup,content/java-backend-intermediate/observability/prometheus-and-grafana/complete-qa.json
structured-logging-logback-correlation-ids,A,medium,,intermediate,observability,structured-logging,Structured Logging with Logback and Correlation IDs,content/java-backend-intermediate/observability/structured-logging/complete-qa.json
capacity-planning-backend-service,D,high,,intermediate,production-sre,capacity-planning,Capacity Planning for a Backend Service,content/java-backend-intermediate/production-sre/capacity-planning/complete-qa.json
chaos-engineering-what-is-it-how-to-apply,D,high,,intermediate,production-sre,chaos-engineering,Chaos Engineering: What It Is and How to Apply It,content/java-backend-intermediate/production-sre/chaos-engineering/complete-qa.json
reduce-java-application-memory-footprint,D,high,,intermediate,production-sre,memory-leaks,Reducing Java Application Memory Footprint,content/java-backend-intermediate/production-sre/memory-leaks/complete-qa.json
async-processing-improve-api-response-time-java,D,high,,intermediate,production-sre,performance-troubleshooting,Implementing Async Processing to Improve API Response Time,content/java-backend-intermediate/production-sre/performance-troubleshooting/complete-qa.json
common-spring-boot-performance-anti-patterns,D,high,,intermediate,production-sre,performance-troubleshooting,Common Spring Boot Performance Anti-Patterns,content/java-backend-intermediate/production-sre/performance-troubleshooting/complete-qa.json
connection-pooling-improve-database-performance-java,D,high,,intermediate,production-sre,performance-troubleshooting,Using Connection Pooling to Improve Database Performance,content/java-backend-intermediate/production-sre/performance-troubleshooting/complete-qa.json
