slug,archetype,confidence,importance,difficulty,module,topic,title,file
learn-new-technology-quickly,G,high,,medium,behavioral,career-growth,Learning a New Technology Under Deadline,content/java-backend-intermediate/behavioral/career-growth/complete-qa.json
stay-current-with-java-technology,G,high,,medium,behavioral,career-growth,Staying Current with Java and Backend Technology,content/java-backend-intermediate/behavioral/career-growth/complete-qa.json
ensure-code-quality-under-pressure,G,high,,medium,behavioral,delivering-under-pressure,Ensuring Code Quality Under Time Pressure,content/java-backend-intermediate/behavioral/delivering-under-pressure/complete-qa.json
prioritize-multiple-urgent-tasks,G,high,,medium,behavioral,delivering-under-pressure,Prioritizing Multiple Urgent Tasks,content/java-backend-intermediate/behavioral/delivering-under-pressure/complete-qa.json
project-failure-and-lessons-learned,G,high,,medium,behavioral,failure-and-learning,Project Failure and Lessons Learned,content/java-backend-intermediate/behavioral/failure-and-learning/complete-qa.json
debug-complex-production-issue,G,high,,medium,behavioral,star-method,Debugging a Complex Production Issue,content/java-backend-intermediate/behavioral/star-method/complete-qa.json
identifying-prioritizing-paying-down-technical-debt,G,high,,medium,engineering-practices,technical-debt,"Technical Debt: Identification, Prioritization, and Payback Strategies",content/java-backend-intermediate/engineering-practices/technical-debt/complete-qa.json
technical-documentation-engineering-teams-strategy,G,high,,medium,engineering-practices,technical-documentation,"Technical Documentation Strategy: Diataxis, Docs-as-Code, Runbooks, Onboarding",content/java-backend-intermediate/engineering-practices/technical-documentation/complete-qa.json
advocate-for-technical-debt,G,high,,medium,engineering-practices,technical-leadership,Advocating for Technical Debt Reduction,content/java-backend-intermediate/engineering-practices/technical-leadership/complete-qa.json
approach-code-reviews,G,high,,medium,engineering-practices,technical-leadership,Approach to Code Reviews,content/java-backend-intermediate/engineering-practices/technical-leadership/complete-qa.json
end-to-end-project-ownership,G,high,,medium,engineering-practices,technical-leadership,Taking End-to-End Project Ownership,content/java-backend-intermediate/engineering-practices/technical-leadership/complete-qa.json
improve-system-performance,G,high,,medium,engineering-practices,technical-leadership,Significantly Improving System Performance,content/java-backend-intermediate/engineering-practices/technical-leadership/complete-qa.json
mentor-junior-developer,G,high,,medium,engineering-practices,technical-leadership,Mentoring a Junior Developer,content/java-backend-intermediate/engineering-practices/technical-leadership/complete-qa.json
